Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,79
design__inferred_latch__count,0
design__instance__count,36320
design__instance__area,411470
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,75
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.017736464738845825
power__switching__total,0.012212134897708893
power__leakage__total,0.000012597010936588049
power__total,0.029961196705698967
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.13641972659869067
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.13926236946691198
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.10392403898259603
timing__setup__ws__corner:nom_fast_1p32V_m40C,3.2765631135717106
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.103924
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,8.479380
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,75
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.16854117190038767
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.16854117190038767
timing__hold__ws__corner:nom_slow_1p08V_125C,0.38701387634491036
timing__setup__ws__corner:nom_slow_1p08V_125C,0.030192738053195004
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.387014
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,0.030193
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,75
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.1482658898732003
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.1482658898732003
timing__hold__ws__corner:nom_typ_1p20V_25C,0.20606328338032723
timing__setup__ws__corner:nom_typ_1p20V_25C,2.3068934082615473
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.206063
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,5.085207
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,75
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.13641972659869067
clock__skew__worst_setup,0.13926236946691198
timing__hold__ws,0.10392403898259603
timing__setup__ws,0.030192738053195004
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.103924
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.030193
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 950.0 470.0
design__core__bbox,5.76 15.12 944.16 453.6
design__io,231
design__die__area,446500
design__core__area,411470
design__instance__count__stdcell,14741
design__instance__area__stdcell,232945
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.56613
design__instance__utilization__stdcell,0.56613
design__rows,116
design__rows:CoreSite,116
design__sites,226780
design__sites:CoreSite,226780
design__instance__count__class:buffer,30
design__instance__area__class:buffer,217.728
design__instance__count__class:inverter,259
design__instance__area__class:inverter,1456.96
design__instance__count__class:sequential_cell,1791
design__instance__area__class:sequential_cell,87757.1
design__instance__count__class:multi_input_combinational_cell,9568
design__instance__area__class:multi_input_combinational_cell,109455
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,2927
design__instance__area__class:timing_repair_buffer,28389.9
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2069.82
design__instance__displacement__mean,0.14
design__instance__displacement__max,19.02
route__wirelength__estimated,646075
design__violations,0
design__instance__count__class:clock_buffer,128
design__instance__area__class:clock_buffer,5218.21
design__instance__count__class:clock_inverter,32
design__instance__area__class:clock_inverter,417.312
design__instance__count__setup_buffer,338
design__instance__count__hold_buffer,0
global_route__vias,40
global_route__wirelength,998287
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,6
flow__warnings__count:RSZ-0062,1
route__net,14800
route__net__special,2
route__drc_errors__iter:0,92
route__wirelength__iter:0,733177
route__drc_errors__iter:1,15
route__wirelength__iter:1,733167
route__drc_errors__iter:2,15
route__wirelength__iter:2,733164
route__drc_errors__iter:3,0
route__wirelength__iter:3,733147
route__drc_errors__iter:4,0
route__wirelength__iter:4,733107
route__drc_errors,0
route__wirelength,733147
route__vias,110190
route__vias__singlecut,110190
route__vias__multicut,0
design__instance__count__class:antenna_cell,6
design__instance__area__class:antenna_cell,32.6592
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,1051.96
design__instance__count__class:fill_cell,21579
design__instance__area__class:fill_cell,178524
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,69
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,69
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,69
